,index,img,title,price,rating,link,id
0,0,https://rukminim1.flixcart.com/image/800/960/xif0q/sari/x/s/j/free-d-n-101-ahiranifashion-unstitched-original-imafzf4uzupdzbah-bb.jpeg?q=50,"jogani brother 
Embroidered Daily Wear Art Silk Saree  (Yellow)",616,"3.917,916 ratings and 1,463 reviews",https://www.flipkart.com/jogani-brother-embroidered-daily-wear-art-silk-saree/p/itmf2a2a3cb2bcf6?pid=SARFZF5AZ9HCM4M5&lid=LSTSARFZF5AZ9HCM4M5FU0NYE&marketplace=FLIPKART&store=clo&srno=b_1_1&otracker=nmenu_sub_Women_0_Clothing&iid=en_SYZPti8i%2Bu9o08luWLyg5kp1Z0pwiLhW14OAsC72mF6H7bk%2FbhJU1mUwRo7yRRl43DFrzxEsWUDrZE2EGB3ZZA%3D%3D&ssid=rsq75smbf40000001659226064019,783ddf0f-4213-49bb-90d1-6ef5b0b8309a
1,1,https://rukminim1.flixcart.com/image/800/960/xif0q/ethnic-set/j/z/g/xxl-131-navy-kurta-pant-dupatta-set-ziva-fashion-original-imag892p5dzezmfq-bb.jpeg?q=50,"Ziva Fashion 
Women Kurta and Pant Set Viscose Rayon",999,"4.215,954 ratings and 1,636 reviews",https://www.flipkart.com/ziva-fashion-women-kurta-pant-set/p/itm7debc3ae6a13d?pid=ETHG892PVFEXWZBH&lid=LSTETHG892PVFEXWZBHP1IEEE&marketplace=FLIPKART&store=clo&srno=b_1_2&otracker=nmenu_sub_Women_0_Clothing&iid=en_SYZPti8i%2Bu9o08luWLyg5kp1Z0pwiLhW14OAsC72mF51ufq8s5qLGo7Go77ye8iqBQxW1t6WWhQhVGA9tTQPFA%3D%3D&ssid=rsq75smbf40000001659226064019,b5af8847-3549-4820-b9f3-b2fa25964f50
2,2,https://rukminim1.flixcart.com/image/800/960/xif0q/sari/f/s/k/free-new-more-kanjivaram-fashion-anusuya-saree-original-imafgvemre4fcxy6-bb.jpeg?q=50,"Cartyshop 
Self Design Banarasi Silk Blend, Cotton Blend Saree  (Pink)",436,"486,068 ratings and 9,535 reviews",https://www.flipkart.com/cartyshop-self-design-banarasi-silk-blend-cotton-blend-saree/p/itm761c49173efd2?pid=SARFGWHXGHGZFAQB&lid=LSTSARFGWHXGHGZFAQBZC59LJ&marketplace=FLIPKART&store=clo&srno=b_1_3&otracker=nmenu_sub_Women_0_Clothing&iid=4ef30189-a3b0-4e9c-a006-6426ec07b611.SARFGWHXGHGZFAQB.SEARCH&ssid=rsq75smbf40000001659226064019,931fa76f-9aab-4744-8029-e688a1c741aa
3,3,https://rukminim1.flixcart.com/image/800/960/xif0q/kurta/x/1/r/xxl-gw104-3-glowworld-original-imafwzhfaubzfzuf-bb.jpeg?q=50,"Glowworld 
Women Printed Pure Cotton Straight Kurta  (Pink)",314,"474,699 ratings and 9,123 reviews",https://www.flipkart.com/glowworld-women-printed-straight-kurta/p/itmdacc51b24002b?pid=KTAFWZHFCWQQJTRU&lid=LSTKTAFWZHFCWQQJTRUJ6UUS1&marketplace=FLIPKART&store=clo&srno=b_1_4&otracker=nmenu_sub_Women_0_Clothing&iid=4ef30189-a3b0-4e9c-a006-6426ec07b611.KTAFWZHFCWQQJTRU.SEARCH&ssid=rsq75smbf40000001659226064019,fbecbc99-169e-4469-a91e-f0e0d441c98e
4,4,https://rukminim1.flixcart.com/image/800/960/ky3b0y80/bra/v/s/0/lightly-padded-36-3-yes-regular-regular-preety-esoroucha-original-imagaezjmxr5qnhh.jpeg?q=50,"ESOROUCHA 
Pack of 3 Women T-Shirt Lightly Padded Bra  (Multicolor)",341,"4.210,634 ratings and 1,151 reviews",https://www.flipkart.com/esoroucha-fashion-women-t-shirt-lightly-padded-bra/p/itmf569358dff59c?pid=BRAGAEZJNSRYBRMB&lid=LSTBRAGAEZJNSRYBRMBDZ7SO7&marketplace=FLIPKART&store=clo&srno=b_1_5&otracker=nmenu_sub_Women_0_Clothing&iid=4ef30189-a3b0-4e9c-a006-6426ec07b611.BRAGAEZJNSRYBRMB.SEARCH&ssid=rsq75smbf40000001659226064019,25e1635b-6adb-47f7-b969-b0fc1d6278a8
5,5,https://rukminim1.flixcart.com/image/800/960/xif0q/dress/r/i/z/s-aa-0119-boho-long-dress-aayu-original-imag3ghzyktnj3bz-bb.jpeg?q=50,"AAYU 
Women Fit and Flare Multicolor Dress",413,"41,07,703 ratings and 15,488 reviews",https://www.flipkart.com/aayu-women-fit-flare-multicolor-dress/p/itmfbz6zajmnsthr?pid=DREFBYMFG4AGWRHE&lid=LSTDREFBYMFG4AGWRHEHXJBKS&marketplace=FLIPKART&store=clo&srno=b_1_6&otracker=nmenu_sub_Women_0_Clothing&iid=4ef30189-a3b0-4e9c-a006-6426ec07b611.DREFBYMFG4AGWRHE.SEARCH&ssid=rsq75smbf40000001659226064019,dfa4d71c-2f56-47e6-8a98-3c25f475d35a
6,6,https://rukminim1.flixcart.com/image/800/960/xif0q/sari/y/p/v/free-wedding-saree-ecolors-fab-unstitched-original-imag5c8efuhrjz9t-bb.jpeg?q=50,"Cartyshop 
Embellished Fashion Georgette, Pure Silk Saree  (Blue, Light Blue)",394,"44,217 ratings and 321 reviews",https://www.flipkart.com/cartyshop-embellished-fashion-georgette-pure-silk-saree/p/itmbd04f661f04e3?pid=SARG5SYYPKRCZFCV&lid=LSTSARG5SYYPKRCZFCVR2MPUI&marketplace=FLIPKART&store=clo&srno=b_1_7&otracker=nmenu_sub_Women_0_Clothing&iid=4ef30189-a3b0-4e9c-a006-6426ec07b611.SARG5SYYPKRCZFCV.SEARCH&ssid=rsq75smbf40000001659226064019,5ebe719c-6f74-4b79-99ca-f3f03dd33cfe
7,7,https://rukminim1.flixcart.com/image/800/960/xif0q/ethnic-set/h/r/p/s-maroonhardup-nikora-original-imag9fe2ggzchgzy-bb.jpeg?q=50,"NIKORA 
Women Kurta and Dupatta Set Viscose Rayon",499,"4.26,487 ratings and 568 reviews",https://www.flipkart.com/nikora-women-kurta-dupatta-set/p/itm065844cc2042e?pid=ETHG9FE2MMFGZU4J&lid=LSTETHG9FE2MMFGZU4JBS0KB3&marketplace=FLIPKART&store=clo&srno=b_1_8&otracker=nmenu_sub_Women_0_Clothing&iid=en_SYZPti8i%2Bu9o08luWLyg5kp1Z0pwiLhW14OAsC72mF5%2BKLvGNTfPS%2BeAykPACr3O11ARSmU88MGBtCFWdaSbEQ%3D%3D&ssid=rsq75smbf40000001659226064019,794261ac-d1f2-4bc7-a0e9-f47f550b639e
8,8,https://rukminim1.flixcart.com/image/800/960/xif0q/shopsy-t-shirt/s/3/0/s-nmp-try-this-original-imag5xe3sdhgg8sg-bb.jpeg?q=50,"GIRLS SHOPPIE 
Color Block Women Round Neck Maroon, Black T-Shirt",249,"410,001 ratings and 833 reviews",https://www.flipkart.com/girls-shoppie-color-block-women-round-neck-maroon-black-t-shirt/p/itm3a1e10e363cc0?pid=TSHG9RAT8RJP4JSJ&lid=LSTTSHG9RAT8RJP4JSJXUPQUY&marketplace=FLIPKART&store=clo&srno=b_1_9&otracker=nmenu_sub_Women_0_Clothing&iid=4ef30189-a3b0-4e9c-a006-6426ec07b611.TSHG9RAT8RJP4JSJ.SEARCH&ssid=rsq75smbf40000001659226064019,e2202c21-1df6-4324-8c51-f68af817bf0d
9,9,https://rukminim1.flixcart.com/image/800/960/kcdp5zk0/panty/8/m/q/80-coziher-pty-201-4pc-lux-cozi-original-imaftg4z9fg7vhgr.jpeg?q=50,"LUX cozi 
Pack of 4 Women Hipster Multicolor Panty",349,"4.27,991 ratings and 799 reviews",https://www.flipkart.com/lux-cozi-women-hipster-multicolor-panty/p/itma7137d7b1a816?pid=PANFTHZHND4JQZNS&lid=LSTPANFTHZHND4JQZNSODN6JL&marketplace=FLIPKART&store=clo&srno=b_1_10&otracker=nmenu_sub_Women_0_Clothing&iid=4ef30189-a3b0-4e9c-a006-6426ec07b611.PANFTHZHND4JQZNS.SEARCH&ssid=rsq75smbf40000001659226064019,f8cad867-b1d3-4ed2-a9c0-700b096a7e8e
